Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Extracted_Features
ACCY,301,47781,Atg Measurement & Disclosure,4,3,4,4,7,2,0,0,0,0,0,0,0,1,3.43,4
ACCY,302,36610,Decision Making for Atg,0,6,6,3,14,3,1,0,1,0,0,0,0,0,3.24,4
ACCY,302,36614,Decision Making for Atg,0,6,9,7,11,0,0,0,0,0,0,0,0,0,3.43,4
ACCY,302,36618,Decision Making for Atg,1,2,11,10,5,2,0,0,1,0,0,0,0,0,3.37,4
ACCY,302,36680,Decision Making for Atg,0,1,10,11,11,0,0,1,0,0,0,0,0,0,3.3,4
ACCY,302,36688,Decision Making for Atg,0,6,8,12,2,4,1,0,0,0,0,0,0,0,3.4,4
ACCY,302,49257,Decision Making for Atg,4,3,5,11,6,3,1,1,0,0,0,0,0,0,2.33,2
ACCY,302,49258,Decision Making for Atg,2,6,9,10,2,3,1,0,2,0,0,0,0,0,3.37,4
ACCY,303,36692,Atg Institutions and Reg,1,2,11,6,7,1,0,2,0,0,0,1,0,1,2.25,2
ACCY,303,36700,Atg Institutions and Reg,1,12,9,5,4,1,0,0,1,0,0,2,1,1,3.32,4
ACCY,303,36701,Atg Institutions and Reg,2,12,10,3,6,2,0,0,1,1,0,0,0,0,2.49,2
ACCY,303,36713,Atg Institutions and Reg,1,12,4,7,4,6,2,0,0,1,0,0,0,0,2.35,2
ACCY,303,49259,Atg Institutions and Reg,0,10,11,9,2,0,0,0,1,0,1,3,0,0,2.27,2
ACCY,303,36703,Atg Institutions and Reg,0,6,6,7,4,10,0,0,2,0,0,1,0,0,1.11,0
ACCY,304,31317,Accounting Control Systems,2,4,3,3,5,1,3,0,0,1,1,1,1,0,1.91,1
ACCY,304,31318,Accounting Control Systems,0,14,4,5,7,0,0,1,1,0,1,0,0,0,1.42,0
ACCY,304,31319,Accounting Control Systems,1,12,6,6,5,1,0,1,0,0,0,0,0,0,1.55,1
ACCY,304,31320,Accounting Control Systems,0,13,0,6,9,0,2,1,0,0,0,0,1,0,1.3,0
ACCY,304,49280,Accounting Control Systems,0,13,0,4,13,0,2,2,0,0,0,0,0,0,1.32,0
ACCY,304,62036,Accounting Control Systems,0,18,0,3,7,0,2,2,0,1,0,0,0,0,1.42,0
ACCY,312,31321,Principles of Taxation,0,6,4,5,5,7,2,1,1,0,2,0,0,1,1.01,0
ACCY,312,31324,Principles of Taxation,1,9,3,9,7,1,2,1,0,0,0,0,0,1,1.37,0
ACCY,312,31330,Principles of Taxation,3,9,7,5,9,2,0,0,0,0,0,0,0,1,1.51,1
ACCY,312,31333,Principles of Taxation,0,5,11,8,3,1,1,0,1,0,1,0,1,1,2.24,2
ACCY,312,45719,Principles of Taxation,6,2,17,5,3,1,2,0,0,0,0,2,0,0,2.39,2
ACCY,312,45934,Principles of Taxation,5,4,14,3,8,1,0,0,0,0,0,0,1,0,2.45,2
ACCY,405,36758,Assurance and Attestation,0,2,8,22,4,1,1,1,0,0,0,0,0,0,2.32,2
ACCY,405,36764,Assurance and Attestation,1,5,10,12,6,2,0,1,1,0,0,0,0,0,2.36,2
ACCY,405,54162,Assurance and Attestation,1,4,7,19,1,3,2,0,0,0,0,0,0,1,2.37,2
ACCY,410,61231,Advanced Financial Reporting,2,4,5,8,7,2,1,1,1,1,0,0,0,1,2.22,2
ACCY,410,62729,Advanced Financial Reporting,2,7,7,7,7,2,2,1,0,0,0,0,0,0,2.36,2
ACCY,410,62730,Advanced Financial Reporting,1,16,5,4,9,0,0,0,0,0,0,0,0,2,2.61,3
ACCY,410,62731,Advanced Financial Reporting,2,13,6,2,7,5,3,0,0,0,0,0,0,0,2.42,2
ACCY,410,62732,Advanced Financial Reporting,1,8,5,7,6,3,3,2,0,0,0,0,2,1,2.1,2
ACCY,415,29676,Auditing Stds and Practice,0,15,8,9,7,0,0,1,0,0,0,0,0,0,1.56,1
ACCY,415,64648,Auditing Stds and Practice,0,2,7,10,9,5,0,3,2,0,0,0,1,0,1.99,1
ACCY,415,65021,Auditing Stds and Practice,0,11,2,11,8,4,0,1,0,0,0,0,0,0,1.37,0
ACCY,451,49130,Advanced Income Tax Problems,0,9,5,7,12,4,0,0,0,0,0,0,0,0,1.35,0
ACCY,451,54569,Advanced Income Tax Problems,2,9,4,5,12,4,0,1,0,0,0,0,0,0,1.36,0
ACCY,451,63119,Advanced Income Tax Problems,0,5,2,3,9,5,4,1,0,0,0,0,0,0,1.09,0
ACCY,502,29680,Accounting Analysis II,6,10,8,10,1,3,0,0,0,0,1,0,0,0,1.56,1
ACCY,502,31334,Accounting Analysis II,4,11,10,5,3,1,1,2,0,0,0,0,0,0,1.55,1
ACCY,502,61232,Accounting Analysis II,3,9,10,11,0,2,4,1,0,1,0,0,0,0,1.4,0
ACCY,503,31335,Managerial Accounting,3,21,12,1,0,0,0,0,0,0,0,0,0,0,1.87,1
ACCY,503,39540,Managerial Accounting,3,18,16,1,0,0,0,0,0,0,0,0,0,0,1.84,1
ACCY,503,66973,Managerial Accounting,17,41,55,81,14,3,0,0,1,0,0,0,0,2,1.56,1
ACCY,503,66974,Managerial Accounting,2,5,8,7,3,0,0,0,0,0,0,0,0,2,1.59,1
ACCY,504,56299,Auditing,0,5,15,5,7,3,3,0,1,0,0,0,0,0,1.32,0
ACCY,504,59162,Auditing,0,11,11,11,5,6,0,0,0,0,0,0,0,0,0.46,0
ACCY,504,64875,Auditing,0,14,13,8,6,1,2,0,0,0,0,0,0,0,0.54,0
ACCY,505,31339,Federal Taxation,5,19,5,1,4,5,0,1,0,0,0,0,0,0,0.63,0
ACCY,505,31341,Federal Taxation,6,13,6,7,6,3,0,0,1,0,0,0,0,0,0.55,0
ACCY,505,54993,Federal Taxation,5,10,7,9,4,4,0,0,0,0,0,0,0,0,0.55,0
ACCY,505,57605,Federal Taxation,6,6,3,4,5,5,0,1,0,0,0,0,0,0,3.42,4
ACCY,510,49275,Financial Reporting Standards,0,25,0,7,2,2,1,1,1,0,0,0,0,0,0.61,0
ACCY,510,61974,Financial Reporting Standards,4,11,6,6,9,4,0,0,0,0,0,0,0,0,0.49,0
ACCY,510,62037,Financial Reporting Standards,2,8,10,7,9,5,0,0,0,0,0,0,0,0,0.42,0
ACCY,510,63121,Financial Reporting Standards,0,24,0,6,8,1,0,1,0,0,0,0,0,0,0.62,0
ACCY,511,31344,External Risk Measurement/Rept,0,10,6,5,4,1,0,0,0,0,0,0,0,0,0.59,0
ACCY,511,49276,External Risk Measurement/Rept,0,18,8,4,1,0,0,0,0,0,0,0,0,0,0.8,0
ACCY,512,51813,Internal Risk Measurement/Rept,3,16,8,4,9,0,0,0,0,0,0,0,0,0,1.64,1
ACCY,512,51816,Internal Risk Measurement/Rept,3,13,10,7,5,1,0,0,0,0,0,0,0,0,1.63,1
ACCY,515,46977,Auditing & Assurance Standards,0,7,9,11,0,3,0,0,0,0,0,0,0,0,1.52,1
ACCY,515,46978,Auditing & Assurance Standards,0,11,6,5,5,2,0,1,1,0,0,0,0,0,1.44,0
ACCY,515,54477,Auditing & Assurance Standards,0,8,7,10,5,1,0,0,0,0,0,0,0,0,1.51,1
ACCY,517,31373,Financial Statement Analysis,0,6,9,4,7,2,0,1,0,0,0,0,0,0,1.4,0
ACCY,517,31377,Financial Statement Analysis,0,11,4,5,10,0,0,0,0,0,0,0,0,0,1.51,1
ACCY,517,39543,Financial Statement Analysis,0,8,3,6,10,2,0,0,0,0,0,0,0,0,1.39,0
ACCY,518,66681,Financial Statement Fraud,27,12,0,0,1,0,0,0,0,0,0,0,0,0,1.98,1
ACCY,551,31381,Corporate Income Taxation,0,2,1,7,14,1,0,0,0,0,0,0,0,0,1.19,0
ACCY,551,31382,Corporate Income Taxation,0,5,2,9,10,0,0,0,0,0,0,0,0,0,1.36,0
ACCY,552,44169,Partnership Income Taxation,2,6,4,3,6,0,0,0,0,0,1,0,0,0,1.44,0
ACCY,554,60931,International Taxation,2,5,4,2,7,2,0,0,0,0,0,0,0,0,3.44,4
ACCY,556,54570,Tax Research,0,10,18,7,1,0,0,0,0,0,0,0,0,0,3.68,4
ACCY,556,31384,Tax Research,1,12,13,4,1,0,0,0,0,0,0,0,0,0,3.74,4
ACCY,558,60932,Taxation of Closely-Held Bus.,3,13,4,1,1,0,0,0,0,0,0,0,0,0,3.86,4
ACCY,570,66737,Data Anlaytics Foundations,5,16,7,3,8,1,0,0,0,0,0,0,0,0,3.66,4
ACCY,571,66738,Stat Analyses for Accountancy,1,19,8,6,5,0,1,0,0,0,0,0,0,0,3.67,4
ACE,100,36724,Agr Cons and Resource Econ,0,0,4,4,2,1,2,0,3,2,4,0,2,0,2.21,2
ACE,161,36745,Microcomputer Applications,0,11,0,0,6,0,0,3,0,0,0,0,2,0,3.09,4
ACE,161,36736,Microcomputer Applications,0,19,0,0,4,0,0,1,0,0,0,0,0,0,3.75,4
ACE,161,36747,Microcomputer Applications,0,15,0,0,4,0,0,3,0,0,1,0,0,0,3.43,4
ACE,161,36749,Microcomputer Applications,0,16,0,0,4,0,0,2,0,0,1,0,0,1,3.52,4
ACE,161,36738,Microcomputer Applications,0,22,0,0,3,0,0,0,0,0,0,0,0,0,3.88,4
ACE,161,36750,Microcomputer Applications,0,19,0,0,5,0,0,1,0,0,0,0,0,0,3.72,4
ACE,161,36739,Microcomputer Applications,0,21,0,0,3,0,0,1,0,0,0,0,0,0,2.8,4
ACE,161,36751,Microcomputer Applications,0,33,0,0,12,0,0,2,0,0,0,0,0,0,2.66,3
ACE,161,36741,Microcomputer Applications,0,18,0,0,3,0,0,2,0,0,1,0,0,0,2.58,3
ACE,161,36752,Microcomputer Applications,0,32,0,0,10,0,0,2,0,0,3,0,0,0,2.51,3
ACE,161,36742,Microcomputer Applications,0,12,0,0,8,0,0,1,0,0,1,0,1,0,2.26,2
ACE,161,36744,Microcomputer Applications,0,13,0,0,7,0,0,2,0,0,1,0,0,0,2.39,2
ACE,210,61563,Environmental Economics,17,17,16,21,23,15,11,11,7,3,2,1,5,0,1.95,1
ACE,222,29698,Agricultural Marketing,14,32,43,22,29,13,9,4,6,2,1,0,4,2,3.24,4
ACE,240,51717,Personal Financial Planning,8,30,40,25,21,13,11,7,1,1,3,2,7,0,3.12,4
ACE,251,49101,The World Food Economy,11,43,25,21,28,11,6,10,3,1,0,0,4,0,3.26,4
ACE,261,31419,Applied Statistical Methods,1,10,8,7,15,5,6,4,5,3,0,1,1,1,2.88,4
ACE,306,52038,Food Law,1,8,4,3,3,4,1,3,0,0,0,0,3,0,2.96,4
ACE,341,65063,Issues in Agribus Mkts & Mgmt,25,4,3,0,2,0,0,1,0,0,0,0,1,0,3.75,4
ACE,341,65167,Issues in Cons Econ & Finance,6,9,4,1,2,1,0,0,0,0,0,0,0,0,3.77,4
ACE,345,53592,Finan Decision Indiv Sm Bus,9,55,9,20,10,6,3,4,3,0,0,0,0,0,3.54,4
ACE,346,60156,Tax Policy and Finan Planning,5,15,19,5,8,3,2,2,0,0,0,0,0,0,3.51,4
ACE,406,48924,Environmental Law,0,7,3,0,2,4,1,2,4,0,0,0,0,0,2.98,4
ACE,411,62829,Environment and Development,16,14,10,6,6,0,0,0,1,1,0,1,1,0,3.56,4
ACE,427,64899,Commodity Price Analysis,5,11,11,6,13,2,1,3,1,0,1,0,1,1,3.27,4
ACE,428,43123,Commodity Futures and Options,3,4,12,3,3,11,2,6,3,3,1,2,0,0,2.8,4
ACE,432,57775,Farm Management,19,7,3,1,0,1,0,0,0,0,0,0,0,0,3.91,4
ACE,435,29710,Global Agribusiness Management,27,15,15,12,11,7,1,2,1,1,0,0,0,0,3.52,4
ACE,444,51727,Finan Serv & Invest Plan,0,8,8,9,13,4,2,2,0,0,0,0,0,0,3.25,4
ACE,444,56181,Finan Serv & Invest Plan,2,13,6,4,7,5,0,0,0,0,0,0,0,0,3.51,4
ACE,455,56174,Intl Trade in Food and Agr,28,17,10,5,6,1,1,0,0,0,0,0,2,1,2.66,3
ACES,101,51577,Contemporary Issues in ACES,13,5,1,0,1,1,0,2,0,0,0,0,0,0,2.71,3
ACES,101,62120,Contemporary Issues in ACES,0,17,8,0,1,0,0,1,1,0,0,0,0,1,2.72,3
ACES,101,51579,Contemporary Issues in ACES,2,18,2,1,2,1,0,0,1,0,0,0,1,0,1.61,1
ACES,101,51582,Contemporary Issues in ACES,8,12,3,4,0,0,0,0,0,0,0,0,2,0,1.6,1
ACES,101,51586,Contemporary Issues in ACES,0,11,7,2,4,1,1,3,1,0,0,0,0,0,1.37,0
ACES,101,51587,Contemporary Issues in ACES,2,14,6,1,1,3,2,0,0,0,0,0,1,0,1.5,1
ACES,101,51588,Contemporary Issues in ACES,1,13,6,1,3,1,0,1,0,0,0,0,1,0,1.52,1
ACES,101,51590,Contemporary Issues in ACES,7,7,5,1,2,0,2,0,0,1,1,0,1,0,1.36,0
ACES,101,51594,Contemporary Issues in ACES,4,15,4,1,1,1,0,0,0,0,0,0,2,0,1.56,1
ACES,101,51596,Contemporary Issues in ACES,1,15,8,0,0,0,0,0,1,0,0,0,0,0,1.8,1
ACES,101,51600,Contemporary Issues in ACES,0,12,3,3,1,0,2,0,0,0,0,0,0,0,1.65,1
ACES,101,51601,Contemporary Issues in ACES,7,12,4,3,0,0,1,0,0,0,0,0,2,0,1.55,1
ACES,179,61977,History of Ag in IL Since 1860,4,6,6,3,2,1,0,1,1,0,0,0,2,0,1.24,0
ACES,179,61978,History of Ag in IL Since 1860,1,7,4,3,4,2,1,1,1,0,0,0,1,0,2.2,2
ADV,150,61084,Introduction to Advertising,7,36,4,2,7,0,1,0,0,0,0,0,0,0,2.8,4
ADV,150,61085,Introduction to Advertising,35,173,1,14,81,0,1,16,0,2,1,0,3,1,2.56,3
ADV,281,61086,Advertising Research Methods,2,7,10,14,14,4,6,13,3,5,2,1,3,1,2.69,3
ADV,283,65173,Advertising and Brand Strategy,0,23,9,4,1,2,1,0,0,0,0,0,0,0,1.73,1
ADV,283,62716,Advertising and Brand Strategy,0,32,9,4,2,1,0,0,0,0,0,0,0,0,1.81,1
ADV,283,64451,Advertising and Brand Strategy,1,22,19,1,0,0,0,0,0,0,0,0,2,0,1.67,1
ADV,284,62721,Consumer Insight,0,18,22,6,6,0,0,0,0,0,0,0,0,0,1.67,1
ADV,284,65174,Consumer Insight,0,25,15,7,2,1,1,1,0,0,0,0,0,0,3.68,4
ADV,310,57971,Intro to Public Relations,0,33,16,22,29,7,6,8,3,0,2,1,0,0,3.21,4
ADV,311,66827,Classic Campaigns,0,13,16,11,10,2,1,0,0,0,0,0,0,0,1.49,0
ADV,390,61087,Content Creation,0,22,26,22,37,23,8,6,1,1,0,0,1,0,3.15,4
ADV,410,51297,Public Relations Strategies,1,19,12,14,5,0,2,1,1,0,0,0,0,0,3.53,4
ADV,460,62726,Innovation in Advertising,1,37,8,8,6,0,3,3,1,1,0,0,0,0,3.56,4
ADV,460,61094,Innovation in Advertising,29,6,5,9,4,5,5,2,0,1,0,0,1,0,3.44,4
ADV,483,29757,Audience Analysis,0,2,4,14,16,8,1,0,0,0,0,0,0,0,3.13,4
ADV,483,51300,Audience Analysis,1,6,24,13,4,1,1,0,0,0,0,0,0,0,3.53,4
ADV,490,59683,Sports PR,0,15,10,1,0,1,1,0,0,0,0,0,1,0,3.62,4
ADV,490,66376,Social Media Analytics,4,24,1,0,0,1,0,0,0,0,0,0,0,0,3.94,4
ADV,498,64458,The Sandage Project,0,9,12,5,0,0,0,0,0,0,0,0,0,0,3.72,4
AE,100,46515,Intro to Aerospace Engineering,0,28,4,0,4,2,0,0,0,0,0,0,0,0,3.79,4
AE,100,63909,Intro to Aerospace Engineering,9,14,7,4,2,1,0,0,0,0,0,0,0,0,3.78,4
AE,100,46516,Intro to Aerospace Engineering,10,18,2,0,2,0,0,1,0,0,0,0,1,0,3.75,4
AE,199,61243,Computer Aided Design,0,21,5,3,5,1,1,1,0,0,0,0,1,0,3.54,4
AE,199,63338,Computer Aided Design,1,22,6,9,1,1,1,0,0,0,1,0,2,0,3.48,4
AE,202,55736,Aerospace Flight Mechanics,7,6,7,2,5,4,0,0,3,0,0,0,0,0,3.38,4
AE,311,29785,Incompressible Flow,2,10,15,17,20,16,15,11,1,1,0,1,1,0,2.94,4
AE,321,29786,Mechs of Aerospace Structures,3,6,10,8,11,10,10,9,8,11,9,6,17,0,2.05,2
AE,352,29788,Aerospace Dynamical Systems,8,16,19,7,13,9,0,0,2,0,0,0,2,0,3.36,4
AE,353,66644,Aerospace Control Systems,0,6,12,10,14,0,4,3,0,0,1,0,0,0,3.19,4
AE,402,29794,Orbital Mechanics,5,12,16,9,22,12,0,0,0,0,0,0,0,0,3.36,4
AE,412,29800,Viscous Flow & Heat Transfer,3,13,10,5,3,1,1,1,0,0,1,0,0,0,3.54,4
AE,416,29803,Applied Aerodynamics,1,17,5,5,9,11,3,2,2,4,1,0,2,0,3.01,4
AE,433,29787,Aerospace Propulsion,0,33,23,19,16,9,7,8,2,2,2,1,1,0,3.2,4
AE,442,57765,Aerospace Systems Design I,10,12,7,7,15,3,5,3,7,0,0,0,1,0,3.13,4
AE,442,57766,Aerospace Systems Design I,0,12,8,13,9,1,0,1,0,1,0,0,3,1,3.2,4
AE,451,51603,Aeroelasticity,6,6,6,3,3,1,0,0,0,0,0,0,0,0,3.68,4
AE,454,53832,Systems Dynamics & Control,3,6,5,4,3,0,1,0,0,0,0,0,0,0,3.6,4
AE,460,36450,Aerodynamics & Propulsion Lab,4,58,19,4,12,2,2,2,0,0,0,0,0,1,3.7,4
AE,483,57767,UAV Navigation and Control,45,38,8,9,2,3,0,0,1,0,0,0,0,1,3.84,4
AFRO,100,49318,Intro to African American St,5,9,4,3,1,2,1,1,0,0,0,0,1,0,3.46,4
AFRO,100,49320,Intro to African American St,8,5,4,1,0,3,2,2,1,1,0,0,2,0,3.09,4
AFRO,261,46614,Intro to the African Diaspora,1,19,7,5,5,1,0,1,0,0,0,0,0,0,3.64,4
AFRO,383,51826,Hist of Blk Women's Activism,0,17,8,5,3,0,0,1,0,0,0,0,0,0,3.68,4
AFRO,411,60132,African American Psychology,2,8,4,0,8,1,0,3,0,0,2,0,0,0,3.2,4
AGCM,220,38779,Communicating Agriculture,0,16,4,1,1,1,0,0,1,1,0,0,1,0,3.49,4
AGCM,430,36899,Comm in Env Social Movements,1,4,9,6,2,0,0,0,0,0,0,0,0,0,3.59,4
AGED,230,56362,Leadership Communications,3,51,12,5,8,0,1,0,0,2,1,0,0,0,3.69,4
AGED,260,45330,Intro to Leadership Studies,0,8,7,2,6,0,3,0,1,0,0,0,0,0,3.37,4
AGED,260,61074,Intro to Leadership Studies,27,58,25,29,22,9,8,4,1,1,0,0,1,0,3.5,4
AGED,280,55468,Training Needs Assessment,13,10,4,1,1,1,0,0,0,0,1,0,0,0,3.76,4
AGED,340,58186,Leadership Ethics & Pluralism,2,6,6,6,5,2,0,0,0,1,0,0,1,0,3.3,4
AGED,380,59633,Leadership in Groups and Teams,8,17,13,6,2,2,0,0,1,0,0,0,0,0,3.69,4
AGED,380,63723,Leadership in Groups and Teams,11,10,11,1,1,2,0,0,1,0,0,0,1,0,3.62,4
AGED,480,62936,Collaborative Leadership,4,17,6,2,1,0,0,0,0,0,0,0,0,0,3.86,4
AGED,499,60733,Begin Agri Teachers Seminar,0,23,1,0,6,0,0,0,0,0,0,0,0,0,3.79,4
AHS,199,52015,Undergraduate Open Seminar,17,9,0,0,2,0,0,2,0,0,0,0,0,0,3.8,4
AIS,285,67476,Indigenous Thinkers,13,3,0,0,0,4,0,2,0,0,0,0,0,1,3.58,4
ANSC,100,31300,Intro to Animal Sciences,10,99,0,12,41,0,3,5,0,0,3,0,1,0,3.56,4
ANSC,103,29835,Working With Farm Animals,0,79,0,1,0,0,0,0,0,0,0,0,0,0,3.99,4
ANSC,206,29863,Horse Management,2,38,4,2,8,0,1,1,0,0,0,0,0,0,3.74,4
ANSC,207,51564,Companion Animal Biology &Care,2,17,3,1,3,1,1,1,1,0,0,0,0,0,1.6,1
ANSC,207,51565,Companion Animal Biology &Care,8,15,5,4,5,2,0,1,0,0,0,0,0,0,1.65,1
ANSC,207,51566,Companion Animal Biology &Care,10,16,5,5,4,1,0,1,1,0,1,0,0,0,1.6,1
ANSC,207,56248,Companion Animal Biology &Care,7,15,12,3,4,4,2,0,0,0,2,0,0,0,1.5,1
ANSC,207,56256,Companion Animal Biology &Care,14,15,3,6,5,2,1,0,0,0,1,0,1,0,1.56,1
ANSC,222,55434,Anatomy and Physiology,4,16,7,11,44,8,12,22,3,10,5,2,11,1,2.53,3
ANSC,250,53235,Companion Animals in Society,107,155,101,61,64,26,23,17,10,6,3,2,7,0,1.44,0
ANSC,298,29886,Undergraduate Seminar,61,13,4,1,2,2,0,0,0,0,0,0,0,0,3.92,4
ANSC,305,29860,Human Animal Interactions,15,5,4,6,2,1,2,0,0,0,0,0,0,0,1.66,1
ANSC,307,60741,Companion Animal Management,2,4,6,8,17,2,4,7,2,0,3,1,2,0,2.75,4
ANSC,350,29884,Cellular Metabolism in Animals,0,14,0,0,12,0,0,21,0,0,2,0,0,0,2.78,4
ANSC,370,62114,Companion Animal Policy,0,8,6,0,5,0,0,2,0,0,0,0,0,0,3.48,4
ANSC,401,29887,Beef Production,2,31,0,0,9,0,0,0,0,0,0,0,0,0,3.79,4
ANSC,420,29891,Ruminant Nutrition,0,10,1,1,14,3,1,6,0,0,0,0,1,0,3.01,4
ANSC,431,40958,Advanced Reproductive Biology,14,13,12,6,13,0,0,8,1,1,0,0,1,0,1.33,0
ANSC,445,67021,Statistical Methods,14,8,2,1,0,0,0,0,0,0,0,0,0,0,3.95,4
ANSC,452,29889,Animal Growth and Development,0,36,0,0,10,0,0,2,0,0,1,0,0,0,1.67,1
ANSC,467,31305,Applied Animal Ecology,2,20,8,7,9,0,0,0,0,0,0,0,0,0,3.65,4
ANSC,498,59523,Integrating Animal Sciences,0,62,0,0,8,0,0,1,0,0,1,0,0,0,3.82,4
ANSC,499,62843,Dangerous Dogs & Breed Discrim,0,20,0,0,0,0,1,0,0,0,0,0,0,0,3.92,4
ANTH,101,55549,Introduction to Anthropology,15,44,42,28,28,31,10,13,18,3,6,1,9,0,2.98,4
ANTH,103,65489,Anthro in a Changing World,12,83,89,27,45,20,7,16,6,4,1,5,15,0,3.19,4
